Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-01-01,RICHMOND CA,Chicken XXXXX-O,164,818.36,0,0.0,0,0.0,0,0
2020-01-01,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,96,479.04,0,0
2020-01-01,LAKEWOOD,Chicken XXXXX-O,56,279.44,45,224.55,46,229.54,0,0
2020-01-02,HAYWARD,Chicken XXXXX-O,31,154.69,0,0.0,0,0.0,0,0
2020-01-02,RICHMOND CA,Chicken XXXXX-O,120,598.8,0,0.0,0,0.0,0,0
2020-01-02,LAKEWOOD,Chicken XXXXX-O,57,284.43,45,224.55,0,0.0,0,0
2020-01-03,HAYWARD,Chicken XXXXX-O,21,104.79,90,449.1,0,0.0,0,0
2020-01-04,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,88,439.12,0,0
2020-01-03,RICHMOND CA,Chicken XXXXX-O,120,598.8,45,224.55,0,0.0,0,0
2020-01-03,LAKEWOOD,Chicken XXXXX-O,57,284.43,45,224.55,45,224.55,0,0
2020-01-05,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,0,0.0,0,0
2020-01-06,HAYWARD,Chicken XXXXX-O,16,79.84,135,673.65,0,0.0,0,0
2020-01-04,RICHMOND CA,Chicken XXXXX-O,120,598.8,0,0.0,46,229.54,0,0
2020-01-04,LAKEWOOD,Chicken XXXXX-O,57,284.43,45,224.55,0,0.0,0,0
2020-01-01,FREMONT,Chicken XXXXX-O,13,64.87,0,0.0,46,229.54,0,0
2020-01-07,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,141,703.59,0,0
2020-01-05,RICHMOND CA,Chicken XXXXX-O,121,603.79,0,0.0,0,0.0,0,0
2020-01-05,LAKEWOOD,Chicken XXXXX-O,57,284.43,45,224.55,0,0.0,0,0
2020-01-08,HAYWARD,Chicken XXXXX-O,102,508.98,0,0.0,0,0.0,0,0
2020-01-02,FREMONT,Chicken XXXXX-O,29,144.71,0,0.0,0,0.0,0,0
2020-01-03,FREMONT,Chicken XXXXX-O,7,34.93,135,673.65,0,0.0,0,0
2020-01-09,HAYWARD,Chicken XXXXX-O,61,304.39,0,0.0,0,0.0,0,0
2020-01-06,RICHMOND CA,Chicken XXXXX-O,121,603.79,90,449.1,0,0.0,0,0
2020-01-06,LAKEWOOD,Chicken XXXXX-O,62,309.38,0,0.0,48,239.52,0,0
2020-01-10,HAYWARD,Chicken XXXXX-O,27,134.73,135,673.65,0,0.0,0,0
2020-01-07,RICHMOND CA,Chicken XXXXX-O,121,603.79,0,0.0,87,434.13,0,0
2020-01-11,HAYWARD,Chicken XXXXX-O,22,109.78,135,673.65,0,0.0,0,0
2020-01-07,LAKEWOOD,Chicken XXXXX-O,95,474.05,0,0.0,0,0.0,0,0
2020-01-12,HAYWARD,Chicken XXXXX-O,22,109.78,0,0.0,131,653.69,0,0
2020-01-08,RICHMOND CA,Chicken XXXXX-O,164,818.36,0,0.0,0,0.0,0,0
2020-01-08,LAKEWOOD,Chicken XXXXX-O,57,284.43,0,0.0,0,0.0,0,0
2020-01-13,HAYWARD,Chicken XXXXX-O,153,763.47,135,673.65,0,0.0,0,0
2020-01-14,HAYWARD,Chicken XXXXX-O,153,763.47,0,0.0,133,663.67,0,0
2020-01-09,RICHMOND CA,Chicken XXXXX-O,121,603.79,0,0.0,0,0.0,0,0
2020-01-09,LAKEWOOD,Chicken XXXXX-O,57,284.43,90,449.1,0,0.0,0,0
2020-01-04,FREMONT,Chicken XXXXX-O,7,34.93,0,0.0,137,683.63,0,0
2020-01-15,HAYWARD,Chicken XXXXX-O,258,1287.42,0,0.0,0,0.0,0,0
2020-01-10,RICHMOND CA,Chicken XXXXX-O,121,603.79,90,449.1,0,0.0,0,0
2020-01-10,LAKEWOOD,Chicken XXXXX-O,57,284.43,180,898.2,0,0.0,0,0
2020-01-16,HAYWARD,Chicken XXXXX-O,208,1037.92,0,0.0,0,0.0,0,0
2020-01-05,FREMONT,Chicken XXXXX-O,85,424.15,0,0.0,0,0.0,0,0
2020-01-17,HAYWARD,Chicken XXXXX-O,153,763.47,180,898.2,0,0.0,0,0
2020-01-11,RICHMOND CA,Chicken XXXXX-O,121,603.79,90,449.1,0,0.0,0,0
2020-01-11,LAKEWOOD,Chicken XXXXX-O,57,284.43,90,449.1,90,449.1,0,0
2020-01-06,FREMONT,Chicken XXXXX-O,19,94.81,180,898.2,0,0.0,0,0
2020-01-18,HAYWARD,Chicken XXXXX-O,100,499.0,180,898.2,0,0.0,0,0
2020-01-12,RICHMOND CA,Chicken XXXXX-O,121,603.79,0,0.0,85,424.15,0,0
2020-01-19,HAYWARD,Chicken XXXXX-O,46,229.54,180,898.2,0,0.0,0,0
2020-01-12,LAKEWOOD,Chicken XXXXX-O,57,284.43,90,449.1,0,0.0,0,0
2020-01-13,RICHMOND CA,Chicken XXXXX-O,206,1027.94,90,449.1,0,0.0,0,0
2020-01-13,LAKEWOOD,Chicken XXXXX-O,57,284.43,0,0.0,86,429.14,0,0
2020-01-07,FREMONT,Chicken XXXXX-O,9,44.91,0,0.0,180,898.2,0,0
2020-01-22,HAYWARD,Chicken XXXXX-O,148,738.52,0,0.0,0,0.0,0,0
2020-01-14,RICHMOND CA,Chicken XXXXX-O,206,1027.94,0,0.0,92,459.08,0,0
2020-01-23,HAYWARD,Chicken XXXXX-O,96,479.04,0,0.0,0,0.0,0,0
2020-01-14,LAKEWOOD,Chicken XXXXX-O,111,553.89,0,0.0,0,0.0,0,0
2020-01-24,HAYWARD,Chicken XXXXX-O,31,154.69,45,224.55,0,0.0,0,0
2020-01-08,FREMONT,Chicken XXXXX-O,137,683.63,0,0.0,0,0.0,0,0
2020-01-15,RICHMOND CA,Chicken XXXXX-O,265,1322.35,0,0.0,0,0.0,0,0
2020-01-15,LAKEWOOD,Chicken XXXXX-O,57,284.43,0,0.0,44,219.56,0,0
2020-01-25,HAYWARD,Chicken XXXXX-O,1,4.99,45,224.55,0,0.0,0,0
2020-01-09,FREMONT,Chicken XXXXX-O,93,464.07,0,0.0,0,0.0,0,0
2020-01-26,HAYWARD,Chicken XXXXX-O,1,4.99,0,0.0,47,234.53,0,0
2020-01-16,RICHMOND CA,Chicken XXXXX-O,220,1097.8,0,0.0,0,0.0,0,0
2020-01-16,LAKEWOOD,Chicken XXXXX-O,78,389.22,90,449.1,0,0.0,0,0
2020-01-27,HAYWARD,Chicken XXXXX-O,27,134.73,135,673.65,0,0.0,0,0
2020-01-17,RICHMOND CA,Chicken XXXXX-O,136,678.64,180,898.2,0,0.0,0,0
2020-01-17,LAKEWOOD,Chicken XXXXX-O,58,289.42,45,224.55,85,424.15,0,0
2020-01-28,HAYWARD,Chicken XXXXX-O,6,29.94,0,0.0,140,698.6,0,0
2020-01-29,HAYWARD,Chicken XXXXX-O,135,673.65,0,0.0,0,0.0,0,0
2020-01-18,RICHMOND CA,Chicken XXXXX-O,121,603.79,135,673.65,41,204.59,0,0
2020-01-18,LAKEWOOD,Chicken XXXXX-O,100,499.0,45,224.55,0,0.0,0,0
2020-01-30,HAYWARD,Chicken XXXXX-O,104,518.96,0,0.0,0,0.0,0,0
2020-01-19,RICHMOND CA,Chicken XXXXX-O,149,743.51,135,673.65,0,0.0,0,0
2020-01-10,FREMONT,Chicken XXXXX-O,60,299.4,180,898.2,0,0.0,0,0
