date,store_id,sku,predicted_sales_units,off_sales_alert,oos_alert,zero_sales_flag,phantom_inventory,phantom_inventory_ind
2019-01-01,63,57,0.0,0,0,0,,0
2019-01-02,63,57,0.0,0,0,0,0.0,0
2019-01-03,63,57,0.0,0,0,0,0.0,0
2019-01-04,63,57,0.0,0,0,0,1.0,1
2019-01-05,63,57,0.0,0,0,0,7.0,1
2019-01-06,63,57,2.0,0,0,0,-8.0,1
2019-01-07,63,57,2.0,0,0,0,0.0,0
2019-01-08,63,57,0.0,0,0,0,0.0,0
2019-01-09,63,57,0.0,0,0,0,1.0,0
2019-01-10,63,57,2.0,0,0,0,0.0,0
2019-01-11,63,57,2.0,0,0,0,0.0,0
2019-01-12,63,57,0.0,0,0,0,0.0,0
2019-01-13,63,57,0.0,0,0,0,-8.0,1
2019-01-14,63,57,0.0,0,0,0,0.0,0
2019-01-15,63,57,0.0,0,0,0,0.0,0
2019-01-16,63,57,0.0,0,0,0,-1.0,0
2019-01-17,63,57,0.0,0,0,0,0.0,0
2019-01-18,63,57,0.0,0,0,0,0.0,0
2019-01-19,63,57,0.0,0,0,0,0.0,0
2019-01-20,63,57,0.0,0,0,0,6.0,1
2019-01-21,63,57,2.0,0,0,0,0.0,0
2019-01-22,63,57,0.0,0,0,0,0.0,0
2019-01-23,63,57,0.0,0,0,0,0.0,0
2019-01-24,63,57,0.0,0,0,0,-5.0,1
2019-01-25,63,57,0.0,0,0,0,-1.0,0
2019-01-26,63,57,2.0,0,0,0,0.0,0
2019-01-27,63,57,0.0,0,0,0,0.0,0
2019-01-28,63,57,0.0,0,0,0,0.0,0
2019-01-29,63,57,0.0,0,0,0,0.0,0
2019-01-30,63,57,0.0,0,0,0,-3.0,0
2019-01-31,63,57,3.0,0,0,0,-1.0,0
2019-02-01,63,57,1.0,0,0,0,0.0,0
2019-02-02,63,57,2.0,0,0,0,-1.0,0
2019-02-03,63,57,0.0,0,0,0,8.0,1
2019-02-04,63,57,2.0,0,0,0,0.0,0
2019-02-05,63,57,0.0,0,0,0,0.0,0
2019-02-06,63,57,0.0,0,0,0,0.0,0
2019-02-07,63,57,0.0,0,0,0,0.0,0
2019-02-08,63,57,0.0,0,0,0,-6.0,1
2019-02-09,63,57,0.0,0,0,0,-1.0,0
2019-02-10,63,57,4.0,0,0,0,0.0,0
2019-02-11,63,57,1.0,0,0,0,2.0,0
2019-02-12,63,57,0.0,0,0,0,0.0,0
2019-02-13,63,57,0.0,0,0,0,0.0,0
2019-02-14,63,57,0.0,0,0,0,-9.0,1
2019-02-15,63,57,0.0,0,0,0,0.0,0
2019-02-16,63,57,0.0,0,0,0,0.0,0
2019-02-17,63,57,0.0,0,0,0,-1.0,0
2019-02-18,63,57,2.0,0,0,0,0.0,0
2019-02-19,63,57,5.0,0,0,0,0.0,0
2019-02-20,63,57,1.0,0,0,0,0.0,0
2019-02-21,63,57,0.0,0,0,0,0.0,0
2019-02-22,63,57,0.0,0,0,0,0.0,0
2019-02-23,63,57,0.0,0,0,0,0.0,0
2019-02-24,63,57,0.0,0,0,0,-3.0,0
2019-02-25,63,57,0.0,0,0,0,-1.0,0
2019-02-26,63,57,2.0,0,0,0,0.0,0
2019-02-27,63,57,0.0,0,0,0,-1.0,0
2019-02-28,63,57,2.0,0,0,0,0.0,0
2019-03-01,63,57,0.0,0,0,0,1.0,0
2019-03-02,63,57,3.0,0,0,0,-1.0,0
2019-03-03,63,57,1.0,0,0,0,16.0,1
2019-03-04,63,57,2.0,0,0,0,-16.0,1
2019-03-05,63,57,0.0,0,0,0,0.0,0
2019-03-06,63,57,0.0,0,0,0,0.0,0
2019-03-07,63,57,0.0,0,0,0,3.0,0
2019-03-08,63,57,0.0,0,0,0,0.0,0
2019-03-09,63,57,0.0,0,0,0,1.0,0
2019-03-10,63,57,3.0,0,0,0,0.0,0
2019-03-11,63,57,1.0,0,0,0,0.0,0
2019-03-12,63,57,0.0,0,0,0,0.0,0
2019-03-13,63,57,0.0,0,0,0,-1.0,0
2019-03-14,63,57,0.0,0,0,0,-1.0,0
2019-03-15,63,57,2.0,0,0,0,-1.0,0
2019-03-16,63,57,4.0,0,0,0,-1.0,0
2019-03-17,63,57,2.0,0,0,0,7.0,1
2019-03-18,63,57,2.0,0,0,0,-8.0,1
2019-03-19,63,57,2.0,0,0,0,0.0,0
2019-03-20,63,57,0.0,0,0,0,-1.0,0
2019-03-21,63,57,0.0,0,0,0,0.0,0
2019-03-22,63,57,0.0,0,0,0,0.0,0
2019-03-23,63,57,0.0,0,0,0,0.0,0
2019-03-24,63,57,0.0,0,0,0,0.0,0
2019-03-25,63,57,0.0,0,0,0,2.0,0
2019-03-26,63,57,2.0,0,0,0,0.0,0
2019-03-27,63,57,4.0,0,0,0,0.0,0
2019-03-28,63,57,1.0,0,0,0,0.0,0
2019-03-29,63,57,0.0,0,0,0,0.0,0
2019-03-30,63,57,0.0,0,0,0,2.0,0
2019-03-31,63,57,0.0,0,0,0,-1.0,0
2019-04-01,63,57,0.0,0,0,0,0.0,0
2019-04-02,63,57,2.0,0,0,0,8.0,1
2019-04-03,63,57,0.0,0,0,0,0.0,0
2019-04-04,63,57,0.0,0,0,0,-5.0,1
