date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
2019-01-02,63,57,Category 04,0,8,0,16,0,0,8,0,32
2019-01-04,63,57,Category 04,0,7,0,14,0,8,0,0,32
2019-01-05,63,57,Category 04,3,5,8,12,8,0,0,0,32
2019-01-06,63,57,Category 04,2,11,0,11,0,0,0,0,32
2019-01-09,63,57,Category 04,3,7,0,14,0,0,8,0,32
2019-01-10,63,57,Category 04,2,5,0,13,0,0,8,0,32
2019-01-13,63,57,Category 04,0,13,0,21,0,8,0,0,32
2019-01-15,63,57,Category 04,0,13,0,13,0,0,0,0,32
2019-01-16,63,57,Category 04,0,14,0,13,0,0,0,0,32
2019-01-20,63,57,Category 04,2,6,0,14,0,0,8,0,32
2019-01-24,63,57,Category 04,0,11,0,10,0,0,0,0,32
2019-01-25,63,57,Category 04,3,9,0,8,0,0,0,0,32
2019-01-30,63,57,Category 04,4,8,0,16,0,0,8,0,32
2019-01-31,63,57,Category 04,0,9,0,16,0,0,8,0,32
2019-02-01,63,57,Category 04,2,7,0,15,0,0,8,0,32
2019-02-02,63,57,Category 04,0,8,0,15,0,0,8,0,32
2019-02-03,63,57,Category 04,3,5,8,13,8,0,0,0,32
2019-02-08,63,57,Category 04,0,19,8,19,0,0,0,0,32
2019-02-09,63,57,Category 04,5,15,0,15,0,0,0,0,32
2019-02-11,63,57,Category 04,0,13,0,13,0,0,0,0,32
2019-02-14,63,57,Category 04,0,22,0,21,0,0,0,0,32
2019-02-17,63,57,Category 04,3,20,0,19,0,0,0,0,32
2019-02-18,63,57,Category 04,6,14,0,14,0,0,0,0,32
2019-02-24,63,57,Category 04,0,17,0,24,0,0,8,0,32
2019-02-25,63,57,Category 04,3,15,0,22,0,0,8,0,32
2019-02-27,63,57,Category 04,2,14,0,13,0,0,0,0,32
2019-03-01,63,57,Category 04,4,9,0,25,0,0,16,0,32
2019-03-02,63,57,Category 04,0,10,0,25,0,0,16,0,32
2019-03-03,63,57,Category 04,2,8,16,32,16,0,8,0,32
2019-03-04,63,57,Category 04,0,24,0,48,0,16,8,0,32
2019-03-07,63,57,Category 04,0,21,0,20,0,0,0,0,32
2019-03-09,63,57,Category 04,4,16,0,16,0,0,0,0,32
2019-03-11,63,57,Category 04,0,16,0,16,0,0,0,0,32
2019-03-13,63,57,Category 04,0,17,0,16,0,0,0,0,32
2019-03-14,63,57,Category 04,2,16,0,15,0,0,0,0,32
2019-03-15,63,57,Category 04,4,13,0,12,0,0,0,0,32
2019-03-16,63,57,Category 04,2,12,0,11,0,0,0,0,32
2019-03-17,63,57,Category 04,2,11,8,18,8,0,0,0,32
2019-03-18,63,57,Category 04,2,17,0,25,0,8,0,0,32
2019-03-19,63,57,Category 04,0,17,0,17,0,0,0,0,32
2019-03-20,63,57,Category 04,0,18,0,17,0,0,0,0,32
2019-03-25,63,57,Category 04,2,14,0,13,0,0,0,0,32
2019-03-26,63,57,Category 04,5,9,0,9,0,0,0,0,32
2019-03-28,63,57,Category 04,0,9,0,9,0,0,0,0,32
2019-03-30,63,57,Category 04,0,7,0,23,0,0,16,0,32
2019-03-31,63,57,Category 04,0,8,0,23,0,0,16,0,32
2019-04-01,63,57,Category 04,3,5,0,21,0,0,16,0,32
2019-04-02,63,57,Category 04,0,5,8,13,8,0,0,0,32
2019-04-04,63,57,Category 04,0,10,0,10,0,0,0,0,32
2019-04-07,63,57,Category 04,0,10,0,17,0,0,8,0,32
2019-04-11,63,57,Category 04,2,13,0,12,0,0,0,0,32
2019-04-12,63,57,Category 04,2,11,0,19,0,0,8,0,32
2019-04-13,63,57,Category 04,0,1,0,0,0,0,0,0,32
2019-04-14,63,57,Category 04,3,10,0,17,0,0,8,0,32
2019-04-18,63,57,Category 04,4,12,0,11,0,0,0,0,32
2019-04-20,63,57,Category 04,2,16,0,32,0,0,16,0,32
2019-04-23,63,57,Category 04,0,13,8,28,16,0,0,0,32
2019-04-25,63,57,Category 04,4,22,0,38,0,0,16,0,32
2019-04-26,63,57,Category 04,0,23,0,38,0,0,16,0,32
2019-04-30,63,57,Category 04,2,17,0,24,0,0,8,0,32
2019-05-01,63,57,Category 04,4,13,0,21,0,0,8,0,32
2019-05-04,63,57,Category 04,0,10,8,18,0,0,8,0,32
2019-05-06,63,57,Category 04,0,9,0,17,0,0,8,0,32
2019-05-07,63,57,Category 04,0,10,0,25,0,16,0,0,32
2019-05-09,63,57,Category 04,8,21,0,20,0,0,0,0,32
